source_id,split,label,len_bucket,noise_type,text
de_6000,train,de,3,clean,Mit der Besetzung
de_6002,train,de,3,clean,Dies kam in
de_6003,train,de,3,clean,Später entstand in
de_6004,train,de,3,clean,Der Begriff wurde
de_6005,train,de,3,clean,Chr. geschrieben und
de_6006,train,de,3,clean,Fragmentarisch erhalten ist
de_6007,train,de,3,clean,"Etsch, Po und"
de_6009,train,de,3,clean,Im Jahre 1776
de_6010,train,de,3,clean,Jedoch spielen sie
de_6011,train,de,3,clean,Carinus wurde im
de_6012,train,de,3,clean,Carl-Philipp Melms: Chronik
de_6015,train,de,3,clean,Artedis Hauptinteresse galt
de_6016,train,de,3,clean,Caesiumchromat kann zusammen
de_6017,train,de,3,clean,2015: Das Magazin
de_6018,train,de,3,clean,Bei den Tadschiken
de_6019,train,de,3,clean,Das Bundesinstitut für
de_6022,train,de,3,clean,In den Tropen
de_6023,train,de,3,clean,FAT32 FAT32 ist
de_6024,train,de,3,clean,Die Regionen spielen
de_6025,train,de,3,clean,Kopf und Schädel
de_6027,train,de,3,clean,Besonderheiten des Klimas
de_6028,train,de,3,clean,Das dritte und
de_6029,train,de,3,clean,Die Anfänge der
de_6030,train,de,3,clean,"Zuckererbsen auch Kaiserschoten,"
de_6031,train,de,3,clean,Gesellschaftliche Bedeutung der
de_6032,train,de,3,clean,Die Regierung forciert
de_6033,train,de,3,clean,Merkmale Wie auch
de_6035,train,de,3,clean,Im Gegensatz zu
de_6036,train,de,3,clean,Nach zwei Jahren
de_6038,train,de,3,clean,Bliss in ihren
de_6039,train,de,3,clean,Nachweis Aluminiumsalze weist
de_6041,train,de,3,clean,Die Objekt-Beziehung Ikone
de_6042,train,de,3,clean,"Lisa, Mareike, Chantal,"
de_6043,train,de,3,clean,Beziehungen innerhalb Südamerikas
de_6044,train,de,3,clean,Wenn sich die
de_6045,train,de,3,clean,Dazu gehören Versammlungsfreiheit
de_6046,train,de,3,clean,Allgemein ist die
de_6047,train,de,3,clean,Durch Schädigung der
de_6048,train,de,3,clean,Die Lenticulae entstanden
de_6049,train,de,3,clean,Im australisch-ozeanischen Raum
de_6050,train,de,3,clean,Siedlungsgeographie und Raumplanung
de_6051,train,de,3,clean,Jahrhundert Das Zeitalter
de_6052,train,de,3,clean,Letztere behielt die
de_6054,train,de,3,clean,Nach Erscheinen seiner
de_6055,train,de,3,clean,Die Energieberatung der
de_6056,train,de,3,clean,Vereinzelt werden jedoch
de_6057,train,de,3,clean,Leben Bonaventura Cavalieri
de_6058,train,de,3,clean,Jahrhundert zählte der
de_6059,train,de,3,clean,Die verschiedenen Bohnenarten
de_6060,train,de,3,clean,Gemeinsam mit ihren
de_6061,train,de,3,clean,Abgrenzungen Innerhalb einer
de_6062,train,de,3,clean,"April 1945, folgte"
de_6063,train,de,3,clean,Dieser konnte sich
de_6065,train,de,3,clean,Flugzeuge Bereits in
de_6066,train,de,3,clean,Artemisia santolinifolia :
de_6067,train,de,3,clean,Californium ist ein
de_6068,train,de,3,clean,Einwohnerentwicklung Nach der
de_6069,train,de,3,clean,Die Sowjetunion hatte
de_6070,train,de,3,clean,Dieser Artikel erschien
de_6071,train,de,3,clean,Dies änderte sich
de_6072,train,de,3,clean,Die Blütenhülle besteht
de_6073,train,de,3,clean,Das größte wissenschaftlich
de_6074,train,de,3,clean,"Da Quarzite, Amphibolite"
de_6075,train,de,3,clean,Somit steht Archaeopteryx
